,routing_processing_time_s,local_processing_time_s
604,0.1942,0.4835
605,0.4718,0.5671
606,0.2939,0.1748
607,0.2098,0.4551
608,0.0577,0.0759
609,0.3965,0.3233
610,0.1904,0.1757
611,0.316,0.4497
612,0.2119,0.5147
613,0.4296,0.1847
614,0.3637,0.4346
615,0.2752,0.1877
616,0.1663,0.0976
617,0.6875,0.1525
618,0.3022,0.1932
619,0.1701,0.2971
620,0.0818,0.2938
621,0.4957,0.7397
622,0.2973,0.3861
623,0.4779,0.2512
624,0.1008,0.4127
625,0.3961,0.2185
626,0.1661,0.4383
627,0.1996,0.4838
628,0.4089,0.4838
629,1.1271,0.5036
630,0.2444,0.2341
631,0.2464,0.6862
632,0.2452,0.1834
633,0.4913,0.5023
634,0.2539,0.559
635,0.3478,0.3727
636,0.0611,0.3169
637,0.5653,0.401
638,0.3671,0.4148
639,0.3406,0.4127
640,0.2999,0.566
641,0.8633,0.506
642,0.1897,0.5652
643,0.178,0.5276
644,0.2547,0.2449
645,0.6733,0.3401
646,0.1908,0.4161
647,0.5084,0.2381
648,0.0692,0.2162
649,0.8098,0.2931
650,0.1997,0.8893
651,0.2976,0.5577
652,0.1076,0.3813
653,0.4482,0.4862
654,0.508,0.3977
655,0.208,0.1904
656,0.1396,0.2363
657,0.7914,0.297
658,0.311,0.4044
659,0.3108,0.5076
660,0.0978,0.534
661,0.6502,0.2825
662,0.2055,0.4478
663,0.4275,0.2874
664,0.0695,0.104
665,0.6474,0.2275
666,0.2676,0.8625
667,0.2503,0.2287
668,0.3284,0.0979
669,0.5017,0.809
670,0.2176,0.299
671,0.3211,0.4895
672,0.1675,0.1991
673,0.9105,0.6574
674,0.3244,0.6413
675,0.263,0.6159
676,0.5163,0.5875
677,0.8871,0.542
678,0.3019,0.2725
679,0.3577,0.7178
680,0.5778,0.5571
681,0.6788,0.423
682,0.2937,0.4051
683,0.3591,0.3583
684,0.2862,0.1036
685,0.7163,0.3213
686,0.2168,0.306
687,0.48,0.0981
688,0.2394,0.1067
689,0.6664,0.2799
690,0.5057,0.2202
691,0.5558,0.351
692,0.0646,0.5234
693,0.4726,0.4412
694,0.4217,0.3696
695,0.1976,0.4273
696,0.1927,0.4525
697,0.766,0.429
698,0.4676,0.4193
699,0.2517,0.5163
700,0.1221,0.2467
701,0.8476,0.5398
702,0.279,0.3198
703,0.3419,0.5696
704,0.1036,0.3807
705,0.5103,0.8384
706,0.3932,0.4972
707,0.4038,0.2658
708,0.2113,0.3697
709,0.7331,0.6144
710,0.2868,0.1037
711,0.44,0.4125
712,0.5017,0.4584
713,0.9785,0.5251
714,0.4137,0.0777
715,0.5667,0.172
716,0.1067,0.3081
717,0.5346,0.4534
